Video_id,Start_Time,End_Time,Spatial,Informational,Experiential,Causality
6frzZGignCo,51,61,,t_shirt,,
6frzZGignCo,51,61,,service,service,
Ra2Zz6fMbcM,76,86,,drink,,
Ra2Zz6fMbcM,76,86,restaurant,,,
Ra2Zz6fMbcM,76,86,,girl,,
Ra2Zz6fMbcM,76,86,,,fun,
Ra2Zz6fMbcM,76,86,,alcohol,,
Ra2Zz6fMbcM,76,86,,technology,,
Ra2Zz6fMbcM,76,86,,beer,,
Ra2Zz6fMbcM,76,86,,disc_jockey,,
Ra2Zz6fMbcM,76,86,,product,,
Ra2Zz6fMbcM,76,86,,distilled_beverage,,
Ra2Zz6fMbcM,76,86,,muscle,,
Ra2Zz6fMbcM,76,86,pub,,,
Ra2Zz6fMbcM,76,86,,water,,
Ra2Zz6fMbcM,76,86,,bartender,,
Ra2Zz6fMbcM,76,86,,glass,,
Ra2Zz6fMbcM,76,86,,communication,communication,
Ra2Zz6fMbcM,76,86,,,pouring_beer,
Ra2Zz6fMbcM,76,86,,audio,,
Ra2Zz6fMbcM,76,86,,bar,,
Ra2Zz6fMbcM,76,86,,drinkware,,
Ra2Zz6fMbcM,76,86,,bottle,,
Ra2Zz6fMbcM,76,86,,,smile,
Gl-rRsaMEY0,37,47,,boy,,
Gl-rRsaMEY0,37,47,,soup_strainer,,
Gl-rRsaMEY0,37,47,,girl,,
Gl-rRsaMEY0,37,47,,toothbrush,,
Gl-rRsaMEY0,37,47,,,fun,
Gl-rRsaMEY0,37,47,,ice_lolly,,
Gl-rRsaMEY0,37,47,,toddler,,
Gl-rRsaMEY0,37,47,,face,,
Gl-rRsaMEY0,37,47,,forehead,,
Gl-rRsaMEY0,37,47,,tooth,,
Gl-rRsaMEY0,37,47,,product,,
Gl-rRsaMEY0,37,47,,chin,,
Gl-rRsaMEY0,37,47,,cheek,,
Gl-rRsaMEY0,37,47,,nose,,
Gl-rRsaMEY0,37,47,,finger,,
Gl-rRsaMEY0,37,47,,,brushing_teeth,
Gl-rRsaMEY0,37,47,,human_hair_color,,
Gl-rRsaMEY0,37,47,,,painting,
Gl-rRsaMEY0,37,47,,child,,
Gl-rRsaMEY0,37,47,,eye,,
Gl-rRsaMEY0,37,47,,skin,,
Gl-rRsaMEY0,37,47,,head,,
Gl-rRsaMEY0,37,47,,infant,,
Gl-rRsaMEY0,37,47,,hair,,
Gl-rRsaMEY0,37,47,,,play,
Gl-rRsaMEY0,37,47,,lip,,
Gl-rRsaMEY0,37,47,,,smile,
Gl-rRsaMEY0,37,47,,,eating,
8hP1sDbAnZ4,37,47,,games,games,
8hP1sDbAnZ4,37,47,,championship,championship,
8hP1sDbAnZ4,37,47,,,recreation,
8hP1sDbAnZ4,37,47,,athlete,,
8hP1sDbAnZ4,37,47,,girl,,
8hP1sDbAnZ4,37,47,,audience,,
8hP1sDbAnZ4,37,47,,,fun,
8hP1sDbAnZ4,37,47,,fan,,
8hP1sDbAnZ4,37,47,,,event,
8hP1sDbAnZ4,37,47,,team_sport,,
8hP1sDbAnZ4,37,47,,team,,
8hP1sDbAnZ4,37,47,,product,,
8hP1sDbAnZ4,37,47,,football_player,,
8hP1sDbAnZ4,37,47,,muscle,,
8hP1sDbAnZ4,37,47,,cheerleader,,
8hP1sDbAnZ4,37,47,,basketball,basketball,
8hP1sDbAnZ4,37,47,,competition,competition,
8hP1sDbAnZ4,37,47,,contact_sport,contact_sport,
8hP1sDbAnZ4,37,47,,player,,
8hP1sDbAnZ4,37,47,,ball_game,ball_game,
8hP1sDbAnZ4,37,47,,thigh,,
8hP1sDbAnZ4,37,47,,,cheering,
8hP1sDbAnZ4,37,47,stadium,,,
8hP1sDbAnZ4,37,47,,,cheerleading,
8hP1sDbAnZ4,37,47,sport_venue,,,
8hP1sDbAnZ4,37,47,,crowd,,
8hP1sDbAnZ4,37,47,,competition_event,competition_event,
8hP1sDbAnZ4,37,47,,,boxing,
8hP1sDbAnZ4,37,47,,sports,sports,
nHgT_9TKyuE,0,10,,foil,,
nHgT_9TKyuE,0,10,,,training,
nHgT_9TKyuE,0,10,,,physical_exercise,
nHgT_9TKyuE,0,10,,,dance,
nHgT_9TKyuE,0,10,,individual_sports,,
nHgT_9TKyuE,0,10,,choreography,choreography,
nHgT_9TKyuE,0,10,,,standing,
nHgT_9TKyuE,0,10,,contact_sport,,
nHgT_9TKyuE,0,10,,combat_sport,,
nHgT_9TKyuE,0,10,,competition_event,,
nHgT_9TKyuE,0,10,,performing_arts,,
nHgT_9TKyuE,0,10,,sports,,
nHgT_9TKyuE,0,10,,,fencing,
nHgT_9TKyuE,0,10,,joint,,
nHgT_9TKyuE,0,10,,fencing_weapon,,
nHgT_9TKyuE,0,10,,weapon_combat_sports,,
RIHBxOKdQcI,225,235,,gadget,,
RIHBxOKdQcI,225,235,,electronics,,
RIHBxOKdQcI,225,235,,technology,,
RIHBxOKdQcI,225,235,,display_device,,
RIHBxOKdQcI,225,235,,video_game_console,,
RIHBxOKdQcI,225,235,,multimedia,,
RIHBxOKdQcI,225,235,,game_controller,,
RIHBxOKdQcI,225,235,,product,,
RIHBxOKdQcI,225,235,,electronic_device,,
RIHBxOKdQcI,225,235,,home_game_console_accessory,,
RIHBxOKdQcI,225,235,,joystick,,
RIHBxOKdQcI,225,235,,control,,
RIHBxOKdQcI,225,235,,playing_controller,,
RIHBxOKdQcI,225,235,,screen,,
6NiKuTcl6JY,201,211,,snapshot,,
6NiKuTcl6JY,201,211,,floor,,
6NiKuTcl6JY,201,211,art_gallery,,,
6NiKuTcl6JY,201,211,,girl,,
6NiKuTcl6JY,201,211,,furniture,,
6NiKuTcl6JY,201,211,,,fun,
6NiKuTcl6JY,201,211,,,playing_basketball,
6NiKuTcl6JY,201,211,,art,,
6NiKuTcl6JY,201,211,,modern_art,,
6NiKuTcl6JY,201,211,,arm,,
6NiKuTcl6JY,201,211,tourist_attraction,tourist_attraction,,
6NiKuTcl6JY,201,211,house,house,,
6NiKuTcl6JY,201,211,apartment,apartment,,
6NiKuTcl6JY,201,211,,muscle,,
6NiKuTcl6JY,201,211,,interior_design,,
6NiKuTcl6JY,201,211,museum,museum,,
6NiKuTcl6JY,201,211,,glass,,
6NiKuTcl6JY,201,211,art_exhibition,art_exhibition,,
6NiKuTcl6JY,201,211,,joint,,
6NiKuTcl6JY,201,211,,door,,
6NiKuTcl6JY,201,211,,plaster,,
6NiKuTcl6JY,201,211,,wall,,
6NiKuTcl6JY,201,211,,,standing,
6NiKuTcl6JY,201,211,home,home,,
6NiKuTcl6JY,201,211,exhibition,exhibition,,
6NiKuTcl6JY,201,211,,flooring,flooring,
6NiKuTcl6JY,201,211,,property,,
6NiKuTcl6JY,201,211,,window,,
6NiKuTcl6JY,201,211,room,room,,
OVBv5sNL2Jc,487,497,,batter,,
OVBv5sNL2Jc,487,497,,wheel,,
OVBv5sNL2Jc,487,497,,photo_caption,,
OVBv5sNL2Jc,487,497,,food,,
OVBv5sNL2Jc,487,497,,space,,
OVBv5sNL2Jc,487,497,,dairy_product,,
OVBv5sNL2Jc,487,497,,dish,,
OVBv5sNL2Jc,487,497,,costume,,
OVBv5sNL2Jc,487,497,,ingredient,,
OVBv5sNL2Jc,487,497,,product,,
OVBv5sNL2Jc,487,497,,cookware_and_bakeware,,
OVBv5sNL2Jc,487,497,,auto_part,,
OVBv5sNL2Jc,487,497,,cream,,
OVBv5sNL2Jc,487,497,,tableware,,
OVBv5sNL2Jc,487,497,,automotive_exterior,,
OVBv5sNL2Jc,487,497,,automotive_tire,,
OVBv5sNL2Jc,487,497,,motor_vehicle,,
OVBv5sNL2Jc,487,497,,metal,,
OVBv5sNL2Jc,487,497,,tire,,
OVBv5sNL2Jc,487,497,,recipe,,
OVBv5sNL2Jc,487,497,,angle,,
OVBv5sNL2Jc,487,497,,cuisine,,
OVBv5sNL2Jc,487,497,,mixture,,
OVBv5sNL2Jc,487,497,,,cooking_egg,
OVBv5sNL2Jc,487,497,,vehicle,,
OVBv5sNL2Jc,487,497,,machine,,
OVBv5sNL2Jc,487,497,,headgear,,
8z6ldEQtRIQ,63,73,,sink,,
8z6ldEQtRIQ,63,73,,bidet,,
8z6ldEQtRIQ,63,73,,floor,,
8z6ldEQtRIQ,63,73,,,plumbing,
8z6ldEQtRIQ,63,73,,toilet_seat,,
8z6ldEQtRIQ,63,73,,outdoor_shoe,,
8z6ldEQtRIQ,63,73,,product,,
8z6ldEQtRIQ,63,73,,shoe,,
8z6ldEQtRIQ,63,73,,public_toilet,,
8z6ldEQtRIQ,63,73,,tile,,
8z6ldEQtRIQ,63,73,,bathroom,,
8z6ldEQtRIQ,63,73,,footwear,,
8z6ldEQtRIQ,63,73,,toilet,,
8z6ldEQtRIQ,63,73,,table,,
8z6ldEQtRIQ,63,73,,foot,,
8z6ldEQtRIQ,63,73,,drinkware,,
8z6ldEQtRIQ,63,73,,plumbing_fixture,plumbing_fixture,
8z6ldEQtRIQ,63,73,,angle,,
8z6ldEQtRIQ,63,73,,,flooring,
8z6ldEQtRIQ,63,73,,,mopping_floor,
8z6ldEQtRIQ,63,73,,vacuum,,
8z6ldEQtRIQ,63,73,,tap,,
8z6ldEQtRIQ,63,73,,still_life_photography,,
7t6fFNX6Wyo,90,100,,musical_instrument,,
7t6fFNX6Wyo,90,100,,garmon,,
7t6fFNX6Wyo,90,100,,bandoneon,,
7t6fFNX6Wyo,90,100,,concertina,,
7t6fFNX6Wyo,90,100,,playing_accordion,playing_accordion,
7t6fFNX6Wyo,90,100,,accordion,,
7t6fFNX6Wyo,90,100,,angle,,
7t6fFNX6Wyo,90,100,,diatonic_button_accordion,,
7t6fFNX6Wyo,90,100,,folk_instrument,,
7t6fFNX6Wyo,90,100,,button_accordion,,
7t6fFNX6Wyo,90,100,,accordionist,,
7t6fFNX6Wyo,90,100,,trikiti,,
7t6fFNX6Wyo,90,100,,free_reed_aerophone,,
7t6fFNX6Wyo,90,100,,event,,
G5pBXTlRzg8,30,40,,wheel,,
G5pBXTlRzg8,30,40,,automotive_wheel_system,,
G5pBXTlRzg8,30,40,,text,,
G5pBXTlRzg8,30,40,,,sitting,
G5pBXTlRzg8,30,40,,fun,,
G5pBXTlRzg8,30,40,,material,,
G5pBXTlRzg8,30,40,,document,,
G5pBXTlRzg8,30,40,,tool,,
G5pBXTlRzg8,30,40,,font,,
G5pBXTlRzg8,30,40,,keyboard,,
G5pBXTlRzg8,30,40,,area,,
G5pBXTlRzg8,30,40,,paper,,
G5pBXTlRzg8,30,40,,product,,
G5pBXTlRzg8,30,40,,checking_tires,checking_tires,
G5pBXTlRzg8,30,40,,finger,,
G5pBXTlRzg8,30,40,,automotive_tire,,
G5pBXTlRzg8,30,40,,car,,
G5pBXTlRzg8,30,40,,nail,,
G5pBXTlRzg8,30,40,,motor_vehicle,,
G5pBXTlRzg8,30,40,,tire,,
G5pBXTlRzg8,30,40,,hand,,
G5pBXTlRzg8,30,40,,logo,,
G5pBXTlRzg8,30,40,,land_vehicle,,
G5pBXTlRzg8,30,40,,brand,,
G5pBXTlRzg8,30,40,,angle,,
G5pBXTlRzg8,30,40,,vehicle,,
G5pBXTlRzg8,30,40,,close_up,,
G5pBXTlRzg8,30,40,,line,,
G5pBXTlRzg8,30,40,,light,,
G5pBXTlRzg8,30,40,,tread,,
G5pBXTlRzg8,30,40,,synthetic_rubber,,
lEQjhTosoDo,0,10,,bow_and_arrow,,
lEQjhTosoDo,0,10,,physical_fitness,,
lEQjhTosoDo,0,10,,ceiling,,
lEQjhTosoDo,0,10,,,recreation,
lEQjhTosoDo,0,10,,daylighting,daylighting,
lEQjhTosoDo,0,10,,fun,fun,
lEQjhTosoDo,0,10,,arm,,
lEQjhTosoDo,0,10,,extreme_sport,,
lEQjhTosoDo,0,10,,muscle,,
lEQjhTosoDo,0,10,,adventure,,
lEQjhTosoDo,0,10,,male,,
lEQjhTosoDo,0,10,,,competition,
lEQjhTosoDo,0,10,,electricity,,
lEQjhTosoDo,0,10,,man,,
lEQjhTosoDo,0,10,,,performance,
lEQjhTosoDo,0,10,,trapeze,,
lEQjhTosoDo,0,10,,,performing_arts,
lEQjhTosoDo,0,10,,,climbing_a_rope,
lEQjhTosoDo,0,10,,electrical_supply,,
lEQjhTosoDo,0,10,,joint,,
lEQjhTosoDo,0,10,roof,roof,,
lEQjhTosoDo,0,10,,structure,,
lEQjhTosoDo,0,10,,,jumping,
lEQjhTosoDo,0,10,,architecture,,
lEQjhTosoDo,0,10,,light,,
lEQjhTosoDo,0,10,,sports,,
lEQjhTosoDo,0,10,,,skateboarding,
UbtJP1yRe0k,1,11,,snapshot,,
UbtJP1yRe0k,1,11,bathtub,bathtub,,
UbtJP1yRe0k,1,11,,washing_machine,,
UbtJP1yRe0k,1,11,,,doing_laundry,
UbtJP1yRe0k,1,11,,toy,,
UbtJP1yRe0k,1,11,,,sitting,
UbtJP1yRe0k,1,11,,toddler,,
UbtJP1yRe0k,1,11,,washer,,
UbtJP1yRe0k,1,11,toilet_seat,,,
UbtJP1yRe0k,1,11,,product,,
UbtJP1yRe0k,1,11,,red,,
UbtJP1yRe0k,1,11,,nose,,
UbtJP1yRe0k,1,11,,home_appliance,,
UbtJP1yRe0k,1,11,,human_hair_color,,
UbtJP1yRe0k,1,11,,toilet,,
UbtJP1yRe0k,1,11,,child,,
UbtJP1yRe0k,1,11,,day,,
UbtJP1yRe0k,1,11,,monochrome_photography,,
UbtJP1yRe0k,1,11,,infant,,
UbtJP1yRe0k,1,11,,clothes_dryer,,
UbtJP1yRe0k,1,11,,,standing,
UbtJP1yRe0k,1,11,,,plumbing_fixture,
UbtJP1yRe0k,1,11,,laundry,,
UbtJP1yRe0k,1,11,,play,,
UbtJP1yRe0k,1,11,,photograph,,
UbtJP1yRe0k,1,11,,major_appliance,,
DzNP2lbGpvo,314,324,,hand,,
DzNP2lbGpvo,314,324,,finger,,
DzNP2lbGpvo,314,324,,box,,
DzNP2lbGpvo,314,324,,,needle_felting,
DzNP2lbGpvo,314,324,,thumb,,
DzNP2lbGpvo,314,324,,product,,
DzNP2lbGpvo,314,324,,close_up,,
DzNP2lbGpvo,314,324,,nail,,
DzNP2lbGpvo,314,324,,lip,,
DzNP2lbGpvo,314,324,,material,,
YhlCu5zZ_Jw,308,318,,food,,
YhlCu5zZ_Jw,308,318,,art,,
YhlCu5zZ_Jw,308,318,,fish,,
YhlCu5zZ_Jw,308,318,,modern_art,,
YhlCu5zZ_Jw,308,318,,dish,,
YhlCu5zZ_Jw,308,318,,paint,,
YhlCu5zZ_Jw,308,318,,acrylic_paint,,
YhlCu5zZ_Jw,308,318,,whales_dolphins_and_porpoises,,
YhlCu5zZ_Jw,308,318,,cookware_and_bakeware,,
YhlCu5zZ_Jw,308,318,,small_appliance,,
YhlCu5zZ_Jw,308,318,,water,,
YhlCu5zZ_Jw,308,318,,home_appliance,,
YhlCu5zZ_Jw,308,318,,organism,,
YhlCu5zZ_Jw,308,318,,marine_mammal,,
YhlCu5zZ_Jw,308,318,,,painting,
YhlCu5zZ_Jw,308,318,,artwork,,
YhlCu5zZ_Jw,308,318,,recipe,,
YhlCu5zZ_Jw,308,318,,cuisine,,
YhlCu5zZ_Jw,308,318,,kitchen_appliance,,
YhlCu5zZ_Jw,308,318,kitchen,,,
YhlCu5zZ_Jw,308,318,,dolphin,,
Q-fBSX6lE-Q,10,20,,games,,
Q-fBSX6lE-Q,10,20,,,recreation,
Q-fBSX6lE-Q,10,20,,toy,,
Q-fBSX6lE-Q,10,20,,fun,,
Q-fBSX6lE-Q,10,20,,art,,
Q-fBSX6lE-Q,10,20,,leisure,,
Q-fBSX6lE-Q,10,20,amusement_park,,,
Q-fBSX6lE-Q,10,20,,product,,
Q-fBSX6lE-Q,10,20,,yellow,,
Q-fBSX6lE-Q,10,20,,red,,
Q-fBSX6lE-Q,10,20,,chute,,
Q-fBSX6lE-Q,10,20,,inflatable,,
Q-fBSX6lE-Q,10,20,,water,,
Q-fBSX6lE-Q,10,20,water_park,,,
Q-fBSX6lE-Q,10,20,playground,,,
Q-fBSX6lE-Q,10,20,,balloon,,
Q-fBSX6lE-Q,10,20,,child,,
Q-fBSX6lE-Q,10,20,park,,,
Q-fBSX6lE-Q,10,20,,,bouncing_on_bouncy_castle,
Q-fBSX6lE-Q,10,20,,play,play,
Q-fBSX6lE-Q,10,20,,festival,,
Q-fBSX6lE-Q,10,20,,amusement_ride,amusement_ride,
l8jDWP1kQHs,5,15,,circle,,
l8jDWP1kQHs,5,15,ceiling,,,
l8jDWP1kQHs,5,15,floor,,,
l8jDWP1kQHs,5,15,,design,,
l8jDWP1kQHs,5,15,,symmetry,,
l8jDWP1kQHs,5,15,,daylighting,,
l8jDWP1kQHs,5,15,,material,,
l8jDWP1kQHs,5,15,,laying_tiles,,
l8jDWP1kQHs,5,15,,font,,
l8jDWP1kQHs,5,15,,paper,,
l8jDWP1kQHs,5,15,,lighting,lighting,
l8jDWP1kQHs,5,15,,product,,
l8jDWP1kQHs,5,15,,finger,,
l8jDWP1kQHs,5,15,,tile,,
l8jDWP1kQHs,5,15,,nail,,
l8jDWP1kQHs,5,15,,hand,,
l8jDWP1kQHs,5,15,,wood,,
l8jDWP1kQHs,5,15,,angle,,
l8jDWP1kQHs,5,15,,,flooring,
l8jDWP1kQHs,5,15,,line,,
l8jDWP1kQHs,5,15,,light,,
QQrjXf4IPIk,2,12,,twig,,
QQrjXf4IPIk,2,12,,mouth,,
QQrjXf4IPIk,2,12,,winter,,
QQrjXf4IPIk,2,12,mountain,,,
QQrjXf4IPIk,2,12,,piste,,
QQrjXf4IPIk,2,12,,ridge,,
QQrjXf4IPIk,2,12,,mountainous_landforms,,
QQrjXf4IPIk,2,12,,technology,,
QQrjXf4IPIk,2,12,,mountaineering,,
QQrjXf4IPIk,2,12,,plant,,
QQrjXf4IPIk,2,12,,winter_sport,,
QQrjXf4IPIk,2,12,,snow,,
QQrjXf4IPIk,2,12,,geological_phenomenon,,
QQrjXf4IPIk,2,12,,,adventure,
QQrjXf4IPIk,2,12,,mountain_range,,
QQrjXf4IPIk,2,12,,sunglasses,,
QQrjXf4IPIk,2,12,,pine_family,,
QQrjXf4IPIk,2,12,,glasses,,
QQrjXf4IPIk,2,12,,personal_protective_equipment,,
QQrjXf4IPIk,2,12,,terrain,,
QQrjXf4IPIk,2,12,,screen,,
QQrjXf4IPIk,2,12,,goggles,,
QQrjXf4IPIk,2,12,,branch,,
QQrjXf4IPIk,2,12,,eyewear,,
QQrjXf4IPIk,2,12,,snorkel,,
QQrjXf4IPIk,2,12,,headgear,,
QQrjXf4IPIk,2,12,,vision_care,,
QQrjXf4IPIk,2,12,,sky,,
QQrjXf4IPIk,2,12,glacial_landform,,,
8-CUyOfIuQI,5,15,,games,,
8-CUyOfIuQI,5,15,floor,,,
8-CUyOfIuQI,5,15,,design,,
8-CUyOfIuQI,5,15,,girl,,
8-CUyOfIuQI,5,15,,chess,,
8-CUyOfIuQI,5,15,,space,,
8-CUyOfIuQI,5,15,,font,,
8-CUyOfIuQI,5,15,,arm,,
8-CUyOfIuQI,5,15,,automotive_design,,
8-CUyOfIuQI,5,15,,human_body,,
8-CUyOfIuQI,5,15,,finger,,
8-CUyOfIuQI,5,15,,crossword_puzzle,,
8-CUyOfIuQI,5,15,,glass,,
8-CUyOfIuQI,5,15,,tile,,
8-CUyOfIuQI,5,15,,nail,,
8-CUyOfIuQI,5,15,,table,,
8-CUyOfIuQI,5,15,,hand,,
8-CUyOfIuQI,5,15,,board_game,,
8-CUyOfIuQI,5,15,,indoor_games_and_sports,,
8-CUyOfIuQI,5,15,,,leatherworking,
8-CUyOfIuQI,5,15,,tabletop_game,,
8-CUyOfIuQI,5,15,,vehicle,,
8-CUyOfIuQI,5,15,,,flooring,
8-CUyOfIuQI,5,15,,chessboard,,
8-CUyOfIuQI,5,15,,pattern,,
zbhfmZGbsy4,206,216,,design,,
zbhfmZGbsy4,206,216,,toy,,
zbhfmZGbsy4,206,216,,text,,
zbhfmZGbsy4,206,216,,cartoon,,
zbhfmZGbsy4,206,216,,material,,
zbhfmZGbsy4,206,216,,,art,
zbhfmZGbsy4,206,216,,,modern_art,
zbhfmZGbsy4,206,216,,font,,
zbhfmZGbsy4,206,216,,,paint,
zbhfmZGbsy4,206,216,,acrylic_paint,,
zbhfmZGbsy4,206,216,,paper,,
zbhfmZGbsy4,206,216,,product,,
zbhfmZGbsy4,206,216,,flower,,
zbhfmZGbsy4,206,216,,yellow,,
zbhfmZGbsy4,206,216,,watercolor_paint,,
zbhfmZGbsy4,206,216,,linens,,
zbhfmZGbsy4,206,216,,pillow,,
zbhfmZGbsy4,206,216,,plastic,,
zbhfmZGbsy4,206,216,,,painting,
zbhfmZGbsy4,206,216,,artwork,,
zbhfmZGbsy4,206,216,,child,,
zbhfmZGbsy4,206,216,,,drawing,
zbhfmZGbsy4,206,216,,pink,,
zbhfmZGbsy4,206,216,,,illustration,
zbhfmZGbsy4,206,216,,textile,,
zbhfmZGbsy4,206,216,,needlework,,
zbhfmZGbsy4,206,216,,,play,
XZ6DNqAYJQk,0,10,,girl,,
XZ6DNqAYJQk,0,10,,face,,
XZ6DNqAYJQk,0,10,,forehead,,
XZ6DNqAYJQk,0,10,,,hair_coloring,
XZ6DNqAYJQk,0,10,,hairstyle,,
XZ6DNqAYJQk,0,10,,bangs,,
XZ6DNqAYJQk,0,10,,chin,,
XZ6DNqAYJQk,0,10,,cheek,,
XZ6DNqAYJQk,0,10,,nose,,
XZ6DNqAYJQk,0,10,,eyelash,,
XZ6DNqAYJQk,0,10,,eyebrow,,
XZ6DNqAYJQk,0,10,,human_hair_color,,
XZ6DNqAYJQk,0,10,,,beauty,
XZ6DNqAYJQk,0,10,,,whistling,
XZ6DNqAYJQk,0,10,,eye,,
XZ6DNqAYJQk,0,10,,long_hair,,
XZ6DNqAYJQk,0,10,,head,,
XZ6DNqAYJQk,0,10,,hair,,
XZ6DNqAYJQk,0,10,,black_hair,,
XZ6DNqAYJQk,0,10,,lip,,
XZ6DNqAYJQk,0,10,,smile,,
XZ6DNqAYJQk,0,10,,brown_hair,,
fNqrMmdODg8,0,10,,hand,,
fNqrMmdODg8,0,10,,,produce,
fNqrMmdODg8,0,10,,knife,,
fNqrMmdODg8,0,10,,,still_life,
fNqrMmdODg8,0,10,,finger,,
fNqrMmdODg8,0,10,,wood,,
fNqrMmdODg8,0,10,,vegetable,,
fNqrMmdODg8,0,10,,local_food,,
fNqrMmdODg8,0,10,,still_life_photography,,
fNqrMmdODg8,0,10,,apple,,
fNqrMmdODg8,0,10,,,cutting_apple,
fNqrMmdODg8,0,10,,nail,,
fNqrMmdODg8,0,10,,fruit,,
fNqrMmdODg8,0,10,,food,,
fNqrMmdODg8,0,10,,hardwood,,
fNqrMmdODg8,0,10,,wood_stain,,
fNqrMmdODg8,0,10,,plywood,,
qQo7AnOxt4c,2,12,,mouth,,
qQo7AnOxt4c,2,12,,computer_wallpaper,,
qQo7AnOxt4c,2,12,,smoke,,
qQo7AnOxt4c,2,12,,flowering_plant,,
qQo7AnOxt4c,2,12,,cotton_candy,,
qQo7AnOxt4c,2,12,,invertebrate,,
qQo7AnOxt4c,2,12,,fish,,
qQo7AnOxt4c,2,12,,magenta,,
qQo7AnOxt4c,2,12,,plant,,
qQo7AnOxt4c,2,12,,violet,,
